,word,positive,negative
1326,freaking,14,20
1327,plans,37,30
1328,incredible,20,13
1329,challenge,42,4
1330,ahh,13,15
1331,piece,22,26
1332,realize,27,41
1333,mail,10,9
1334,telling,25,33
1335,fight,35,28
1336,cheers,18,4
1337,obviously,19,12
1338,ball,17,12
1339,derby,28,5
1340,moms,17,12
1341,blessing,8,0
1342,usually,31,36
1343,handsome,10,6
1344,angry,15,65
1345,shine,11,5
1346,learned,22,12
1347,flight,22,18
1348,father,17,15
1349,worldpressfreedomday,8,0
1350,sick,33,97
1351,decision,11,19
1352,putting,29,19
1353,filled,40,6
1354,canada,13,11
1355,16,15,11
1356,classes,28,6
1357,deal,24,33
1358,lunch,36,11
1359,22,18,5
1360,press,18,11
1361,absolute,13,13
1362,losing,16,37
1363,beat,29,35
1364,sucks,22,89
1365,random,23,15
1366,general,17,17
1367,soft,17,70
1368,21,15,11
1369,happy,10881,364
1370,harvey,3,140
1371,mets,3,79
1372,@bibibou1311,0,82
1373,@nicolepfeifer84,1,81
1374,truth,16,76
1375,@meli_hai,1,77
1376,@fee878,0,80
1377,@rosepeetal,1,78
1378,@nikkiebaer47,0,73
1379,@joalex_tweet,1,69
1380,@balldred,1,68
1381,leaving,12,101
1382,@mairyleo,1,65
1383,@randomfingirl,1,57
1384,poor,18,135
1385,lonely,8,74
1386,men,23,49
1387,@foxnews,12,46
1388,smh,14,52
1389,pathetic,7,49
1390,@stormydaniels,10,53
1391,rip,15,75
1392,reality,16,46
1393,president,15,42
1394,infinity,11,61
1395,@potus,13,37
1396,rich,6,43
1397,:/,13,51
1398,nra,8,36
1399,broke,14,78
1400,players,29,40
1401,dark,27,51
1402,feelings,16,53
1403,lies,7,30
1404,"is,",15,27
1405,nobody,22,56
1406,:((,5,1077
1407,case,18,47
1408,@cnn,8,30
1409,@nra,12,30
1410,united,11,25
1411,@kanyewest,6,30
1412,couldn't,0,0
1413,indeed,17,34
1414,fast,26,52
1415,ended,21,41
1416,word,23,35
1417,situation,10,29
1418,killed,12,33
1419,attention,15,36
1420,low,25,38
1421,history,24,28
1422,hella,17,35
1423,act,20,28
1424,@cliffavril,0,25
1425,worse,12,45
1426,@therealroseanne,6,27
1427,terrible,13,35
1428,dumb,27,34
1429,@manutd,1,25
1430,@laurenjauregui,0,22
1431,supposed,23,54
1432,excuse,6,25
1433,kanye,11,25
1434,unique,15,116
1435,thinks,15,25
1436,obama,7,22
1437,mostly,16,27
1438,themselves,15,26
1439,facts,51,24
1440,type,20,33
1441,football,26,24
1442,niggas,14,28
1443,cares,14,27
1444,moving,18,29
1445,horrible,13,32
1446,hurts,6,82
1447,movies,33,39
1448,asking,17,37
1449,fuckin,10,21
1450,ends,21,27
1451,respect,19,25
1452,gun,16,20
1453,deep,14,31
1454,era,15,21
1455,front,22,28
1456,@seanhannity,1,21
1457,liar,8,20
1458,depression,7,25
1459,gay,21,39
1460,tour,30,59
1461,americans,8,20
1462,stormy,6,14
1463,sold,17,43
1464,write,26,29
1465,corrie,0,21
1466,office,32,25
1467,scared,11,54
1468,disappointed,10,35
1469,happening,34,37
1470,dying,13,32
1471,town,24,25
1472,hug,9,63
1473,judge,14,18
1474,thread,22,30
1475,chris,14,26
1476,police,18,17
1477,law,18,18
1478,character,21,24
1479,public,21,17
1480,breaking,13,27
1481,realized,14,30
1482,lmfao,9,26
1483,due,18,34
1484,none,13,26
1485,joke,19,37
1486,pain,14,42
1487,hearing,17,27
1488,usa,13,19
1489,stories,20,25
1490,rudy,7,15
1491,@msnbc,5,17
1492,shame,8,25
1493,concert,32,49
1494,lowkey,9,26
1495,often,24,23
1496,crap,10,26
1497,disgusting,2,24
1498,paid,15,26
1499,@thehill,4,18
1500,talent,11,16
1501,wanting,19,21
1502,lying,12,20
1503,giuliani,7,17
1504,society,10,19
1505,scene,20,17
1506,given,10,20
1507,minute,14,25
1508,awful,7,35
1509,@imjsweets,0,16
1510,hillary,4,9
1511,lack,6,25
1512,trash,14,29
1513,speak,13,19
1514,question,21,24
1515,passing,4,19
1516,comments,15,14
1517,straight,22,30
1518,jokes,20,23
1519,racist,7,17
1520,@nbcnews,5,16
1521,serious,24,24
1522,whether,19,10
1523,@mattharvey33,0,19
1524,attitude,8,15
1525,@snoopdogg,1,19
1526,justice,5,15
1527,unfortunately,7,41
1528,wh,17,17
1529,blame,3,22
1530,speech,6,12
1531,ran,12,23
1532,ignorant,5,15
1533,clothes,14,20
1534,league,19,14
1535,gotten,11,21
1536,issue,12,24
1537,liberal,4,15
1538,goodbye,9,25
1539,cover,20,22
1540,laughing,20,23
1541,members,21,27
1542,):,5,19
1543,tha,14,18
1544,brain,10,18
1545,match,19,17
1546,example,8,14
1547,level,28,26
1548,affairs,0,15
1549,fucked,15,29
1550,likely,10,19
1551,waste,10,15
1552,@presssec,10,16
1553,road,27,17
1554,@shepnewsteam,0,13
1555,grown,9,19
1556,west,23,14
1557,pissed,10,21
1558,@anthonydicomo,0,14
1559,yea,17,19
1560,sadness,1,22
1561,everytime,11,20
1562,current,17,22
1563,:-(,2,390
1564,fell,11,25
1565,abt,10,27
1566,sunday,45,27
1567,cream,29,39
1568,pizza,16,30
1569,article,12,16
1570,2015,5,15
1571,hunter,4,15
1572,calling,26,24
1573,afraid,3,33
1574,injuries,1,16
1575,rights,5,13
1576,depressing,4,20
1577,idiot,9,16
1578,recently,14,18
1579,actual,19,21
1580,clear,15,18
1581,bts,12,65
1582,system,12,14
1583,scary,8,30
1584,mental,16,22
1585,reminds,13,18
1586,nap,6,21
1587,acting,12,20
1588,@pattyarquette,2,16
1589,stopped,19,27
1590,prayers,6,19
1591,fortnite,25,27
1592,allowed,20,17
1593,harveys,0,14
1594,"wow,",27,12
1595,ruined,7,21
1596,writing,35,18
1597,channel,18,21
1598,"know,",18,13
1599,re,22,25
1600,moved,10,20
1601,bitches,16,17
1602,tragic,0,19
1603,shitty,8,24
1604,democrats,4,16
1605,"go,",6,10
1606,@teamcavuto,0,10
1607,co,18,18
1608,snoop,1,15
1609,netflix,11,24
1610,bitter,10,16
1611,"news,",6,16
1612,bus,9,14
1613,tough,13,22
1614,hungry,6,32
1615,boi,9,20
1616,dropped,7,22
1617,:(((,1,637
1618,fox,10,11
1619,"him,",12,14
1620,became,15,14
1621,across,23,19
1622,nation,6,15
1623,potential,8,14
1624,statement,10,14
1625,internet,11,36
1626,amount,17,17
1627,bill,12,13
1628,cnn,4,12
1629,cliff,1,13
1630,empty,9,19
1631,cos,5,25
1632,imma,12,24
1633,"no,",18,12
1634,trumps,5,9
1635,peoples,10,12
1636,@michaelavenatti,1,14
1637,supporters,4,13
1638,alright,15,21
1639,former,7,11
1640,performance,13,13
1641,weak,9,17
1642,pitch,4,14
1643,@realjameswoods,3,10
1644,bored,20,46
1645,pet,15,20
1646,forgotten,5,12
1647,complete,9,19
1648,hilarious,14,12
1649,ashamed,2,9
1650,zero,10,14
1651,baseball,18,14
1652,republican,3,10
1653,powerful,7,11
1654,color,16,18
1655,explain,13,17
1656,fit,17,22
1657,grew,5,16
1658,middle,22,20
1659,republicans,7,11
1660,finish,14,19
1661,ego,4,10
1662,schools,13,14
1663,speaking,15,19
1664,fo,17,13
1665,opinion,16,16
1666,expect,13,14
1667,clearly,16,14
1668,sort,13,17
1669,ima,9,17
1670,drinking,18,17
1671,loser,5,17
1672,bye,8,20
1673,wrote,13,15
1674,dinner,21,25
1675,london,20,16
1676,failed,12,19
1677,avengers,12,17
1678,suffering,6,16
1679,"really,",3,9
1680,suicide,4,13
1681,@itvcorrie,0,10
1682,twice,14,14
1683,sell,8,21
1684,li,29,11
1685,blocked,7,18
1686,gop,1,11
1687,unless,17,21
1688,paying,20,17
1689,afford,5,23
1690,@washingtonpost,1,9
1691,dems,3,10
1692,iowa,3,11
1693,@chapelhilldiva,3,13
1694,sigh,1,32
1695,lived,10,15
1696,"but,",18,12
1697,"that,",17,9
1698,xxxtentacion,0,13
1699,biggest,25,22
1700,(i,14,17
1701,"fan,",4,10
1702,apparently,17,15
1703,record,17,14
1704,radio,21,13
1705,female,11,19
1706,starts,39,16
1707,clown,5,6
1708,common,8,11
1709,brighton,2,11
1710,dick,12,19
1711,"like,",13,11
1712,seattle,5,13
1713,bag,20,19
1714,"them,",22,12
1715,hates,4,17
1716,issues,16,17
1717,suddenly,10,22
1718,@vp,7,12
1719,comment,18,22
1720,ridiculous,7,12
1721,@silencedhippie,0,14
1722,"true,",8,13
1723,killing,15,21
1724,bruh,7,21
1725,proper,10,12
1726,pass,26,26
1727,teams,18,18
1728,update,16,55
1729,dj,15,19
1730,rly,11,21
1731,@barackobama,0,10
1732,@mets,1,16
1733,energy,21,16
1734,step,15,13
1735,york,13,17
1736,student,29,15
1737,shouldnt,7,17
1738,voted,6,10
1739,period,9,12
1740,relevant,3,10
1741,sign,56,19
1742,personality,9,12
1743,ride,38,16
1744,boring,20,19
1745,@seahawks,1,13
1746,normal,13,15
1747,iv,5,69
1748,malone,2,14
1749,mans,9,19
1750,race,28,16
1751,relationships,4,12
1752,spot,29,16
1753,badly,10,28
1754,aidan,0,13
1755,shits,0,16
1756,vs,19,17
1757,"lol,",6,11
1758,air,23,15
1759,potus,6,11
1760,tiny,14,21
1761,con,14,18
1762,knight,1,12
1763,plus,25,21
1764,"oh,",20,10
1765,ab,8,17
1766,closing,3,10
1767,constantly,11,15
1768,heartbreaking,2,28
1769,major,10,14
1770,toxic,12,12
1771,destroy,4,13
1772,pro,12,11
1773,they've,0,0
1774,problems,9,17
1775,listened,5,13
1776,nah,11,22
1777,mum,8,13
1778,shut,9,27
1779,earlier,16,23
1780,xx,27,15
1781,mueller,3,8
1782,blue,18,23
1783,@ellenpompeo,1,10
1784,personal,6,17
1785,ruin,14,14
1786,kept,13,13
1787,catch,31,21
1788,government,8,11
1789,easily,3,14
1790,hatred,1,8
1791,comfort,7,14
1792,based,13,15
1793,return,17,12
1794,shirt,15,19
1795,basically,7,15
1796,guns,7,10
1797,ca,18,14
1798,lmaooo,4,15
1799,pull,11,15
1800,expected,7,14
1801,piano,4,9
1802,bullshit,6,12
1803,2013,3,11
1804,fallen,4,14
1805,comey,0,10
1806,mix,22,10
1807,helped,10,17
1808,currently,27,24
1809,decent,5,16
1810,disagree,9,9
1811,react,4,10
1812,animals,19,14
1813,screen,20,18
1814,lauren,2,7
1815,rid,6,16
1816,suck,11,23
1817,reporting,3,9
1818,nonsense,3,13
1819,winning,14,7
1820,pussy,9,12
1821,allow,9,11
1822,larry,2,9
1823,plays,8,10
1824,wearing,19,19
1825,dudes,12,11
1826,rlly,7,37
1827,welp,2,13
1828,memes,13,19
1829,reply,14,29
1830,mourinho,0,9
1831,memory,8,16
1832,difference,14,19
1833,interesting,34,16
1834,selling,7,16
1835,accounts,5,16
1836,sadly,2,46
1837,fear,18,12
1838,field,54,12
1839,@jaketapper,1,11
1840,terribly,1,12
1841,"anymore,",4,12
1842,million,13,12
1843,fair,41,17
1844,"there,",15,9
1845,except,7,23
1846,anyways,13,23
1847,stressed,9,23
1848,@davidhogg111,4,8
1849,mufc,0,10
1850,porn,18,15
1851,draw,28,21
1852,elected,3,8
1853,avril,0,11
1854,@cnnpolitics,0,9
1855,characters,29,13
1856,wasted,8,16
1857,embarrassing,6,11
1858,rap,5,11
1859,anime,10,14
1860,somehow,3,13
1861,tells,13,13
1862,steve,13,10
1863,closed,6,19
1864,ignore,11,14
1865,official,11,13
1866,"sorry,",4,9
1867,add,24,22
1868,education,12,8
1869,"her,",9,5
1870,"too,",18,6
1871,acc,3,17
1872,fly,13,17
1873,russian,4,9
1874,racism,2,11
1875,:c,2,13
1876,commentary,3,9
1877,grace,9,13
1878,leader,4,13
1879,stan,12,25
1880,donald,9,9
1881,graduate,7,14
1882,doctor,32,14
1883,"days,",9,7
1884,fighting,14,13
1885,figure,11,16
1886,pitcher,0,11
1887,pero,4,33
1888,fault,5,18
1889,@mattwalshblog,5,10
1890,lay,10,14
1891,barely,10,22
1892,seasons,5,7
1893,quick,19,15
1894,interview,30,18
1895,exhausted,3,21
1896,noooo,0,24
1897,sudden,3,10
1898,ticket,13,27
1899,huh,6,14
1900,orange,9,12
1901,chapter,14,11
1902,smith,4,8
1903,cancelled,2,20
1904,ain't,0,0
1905,mouth,12,16
1906,hide,6,8
1907,messed,5,14
1908,convention,6,8
1909,falling,6,17
1910,quit,12,13
1911,"people,",16,9
1912,evil,11,13
1913,bright,12,16
1914,eye,17,14
1915,gym,12,21
1916,abuse,5,12
1917,cats,15,20
1918,delusional,1,10
1919,manchester,6,10
1920,spades,0,104
1921,jobs,13,10
1922,tom,17,25
1923,prom,42,28
1924,mention,16,13
1925,breaks,4,17
1926,role,16,11
1927,insecure,3,17
1928,created,16,11
1929,status,2,12
1930,don,5,13
1931,families,10,10
1932,beginning,14,14
1933,view,11,15
1934,finding,19,14
1935,"yep,",6,9
1936,khaled,4,13
1937,@edkrassen,6,11
1938,daily,21,12
1939,werent,11,12
1940,puppy,11,24
1941,culture,19,11
1942,fate,2,10
1943,david,10,10
1944,dies,3,9
1945,mess,18,20
1946,honest,11,16
1947,sarah,13,12
1948,argument,7,9
1949,talented,26,18
1950,"though,",9,8
1951,extraordinary,0,9
1952,release,18,11
1953,:((((((,0,59
1954,mutuals,15,41
1955,:-((,0,32
1956,iii,3,37
1957,:(((((((,0,27
1958,sakurai,0,29
1959,pa,8,27
1960,huhu,1,27
1961,asleep,12,39
1962,ivos,0,28
1963,text,12,31
1964,ko,9,28
1965,premiosmtvmiaw,13,27
1966,ang,9,27
1967,nervous,4,29
1968,hugs,12,29
1969,link,29,23
1970,yoongi,6,22
1971,sleeping,11,21
1972,craving,1,20
1973,:-(((,0,22
1974,lang,9,23
1975,stomach,2,28
1976,bf,8,27
1977,nooo,2,23
1978,monday,24,30
1979,deleted,3,27
1980,emo,2,24
1981,jimin,10,20
1982,:(:,0,20
1983,bar,28,22
1984,roarforchange,0,26
1985,cuddle,1,20
1986,notice,8,25
1987,chicken,8,22
1988,@ivofspades,0,17
1989,naman,3,17
1990,:-((((,0,16
1991,kiss,10,20
1992,drop,24,21
1993,ako,4,15
1994,tag,18,23
1995,nose,4,17
1996,nope,4,19
1997,fandom,9,24
1998,bestie,5,16
1999,ig,16,22
2000,nails,9,21
2001,fix,16,21
2002,exo,10,15
2003,nct,18,17
2004,water,40,19
2005,tl,10,24
2006,bear,13,16
2007,mutual,5,17
2008,beach,30,17
2009,ng,5,17
2010,@jacobsartorius,5,12
2011,crush,8,19
2012,cold,17,21
2013,wala,1,15
2014,shy,6,15
2015,ahhh,17,22
2016,jungkook,1,17
2017,drunk,32,21
2018,rt,9,14
2019,11:11,0,14
2020,awh,6,18
2021,ouch,1,16
2022,agentsofshield,0,15
2023,jk,8,13
2024,feed,16,16
2025,ka,9,13
2026,sleepy,4,17
2027,smoke,9,14
2028,anxious,4,16
2029,gosh,10,14
2030,wheres,9,14
2031,apple,13,15
2032,hurting,5,19
2033,din,4,11
2034,gf,12,17
2035,:((((((((,0,15
2036,coffee,15,18
2037,@weareoneexo,8,17
2038,skinny,4,16
2039,oof,9,14
2040,anxiety,10,18
2041,((,2,10
2042,dms,3,20
2043,@jamescharles,0,13
2044,::,2,10
2045,bub,6,9
2046,slept,2,12
2047,near,7,15
2048,wouldve,5,18
2049,ba,7,17
2050,@uniquetsalonga,0,10
2051,salonga,0,12
2052,:(((((((((,0,12
2053,si,6,16
2054,buying,12,19
2055,awe,9,18
2056,ty,9,12
2057,dress,52,14
2058,lifesentence,0,9
2059,talked,11,20
2060,staying,8,12
2061,touch,12,18
2062,oomf,0,14
2063,sana,4,9
2064,relate,7,20
2065,leaves,6,17
2066,universe,8,11
2067,taeyong,1,9
2068,expensive,5,14
2069,hanging,18,14
2070,computer,4,16
2071,makeup,28,14
2072,rude,9,17
2073,rain,31,17
2074,di,9,16
2075,taehyung,4,11
2076,solo,24,15
2077,apartment,5,18
2078,mi,13,14
2079,box,20,20
2080,bruins,1,10
2081,praying,4,14
2082,studying,9,8
2083,checked,7,14
2084,hays,1,9
2085,heck,4,13
2086,huhuhu,2,12
2087,michael,10,17
2088,afternoon,44,12
2089,dan,12,11
2090,ikr,2,14
2091,mtvlakpopbts,6,11
2092,tix,2,12
2093,tummy,3,12
2094,dang,8,16
2095,uh,10,17
2096,kisses,5,10
2097,au,8,16
2098,cheese,10,17
2099,thru,5,16
2100,irl,15,9
2101,streaming,19,14
2102,eh,6,13
2103,nights,26,16
2104,plz,4,13
2105,available,21,12
2106,mtvbrkpopbts,5,12
2107,hmu,2,12
2108,pc,6,14
2109,upload,2,10
2110,anywhere,12,18
2111,handle,7,15
2112,third,15,15
2113,cheeks,5,10
2114,delete,1,11
2115,painful,3,15
2116,calm,7,13
2117,uncomfortable,2,12
2118,hasnt,10,12
2119,jelly,2,8
2120,perform,14,16
2121,chat,37,9
2122,tae,2,10
2123,@cienfuegosxx,0,8
2124,@richkeith,0,8
2125,meme,7,14
2126,wings,4,14
2127,sale,23,12
2128,pink,11,18
2129,armys,7,10
2130,shet,0,7
2131,cuddles,0,8
2132,@calum5sos,1,8
2133,beer,22,9
2134,ik,7,13
2135,(2018),0,5
2136,misses,4,9
2137,shopping,18,10
2138,asap,8,12
2139,atm,3,15
2140,thor,8,8
2141,tweeted,8,14
2142,wondering,8,13
2143,anon,3,12
2144,active,17,12
2145,gif,10,17
2146,til,16,13
2147,bummed,2,9
2148,smol,0,8
2149,exam,12,11
2150,partner,15,12
2151,wind,5,14
2152,heartbroken,2,13
2153,tea,12,17
2154,"fun,",412,2
2155,fact:,149,2
2156,learning,92,8
2157,holiday,69,7
2158,adult,45,12
2159,gaming,62,3
2160,activities,47,4
2161,reflex,43,0
2162,fruity,42,0
2163,adventure,50,7
2164,fu,43,6
2165,festival,41,7
2166,naughty,44,2
2167,camp,46,5
2168,events,45,11
2169,@thetoyinsider,37,0
2170,co/fyxwk2djim,20,0
2171,"nearby,",36,0
2172,newborn,37,2
2173,annual,43,4
2174,@nctsmtown_127,35,2
2175,shoot,40,8
2176,cincodemayo,34,1
2177,createflavoredbubbles,31,0
2178,badoo,32,0
2179,dating,38,8
2180,theater,32,4
2181,exciting,32,8
2182,tons,31,6
2183,activity,33,1
2184,creative,36,4
2185,barbie,28,4
2186,magic,32,5
2187,design,30,6
2188,colors,29,4
2189,science,32,1
2190,pm,27,8
2191,storytime,11,0
2192,june,30,14
2193,messy,31,6
2194,tingz,27,1
2195,6th,21,1
2196,pango,11,0
2197,"weekend,",27,1
2198,google,24,6
2199,loads,21,4
2200,sexy,31,9
2201,sushi,13,3
2202,begin,32,8
2203,ton,26,5
2204,teaching,22,8
2205,helper,26,1
2206,iphone,18,11
2207,style,27,6
2208,daddy's,0,0
2209,joining,31,1
2210,cooking,24,2
2211,delicious,25,7
2212,fun:,21,0
2213,session,26,7
2214,create,30,10
2215,"food,",27,2
2216,ideas,32,12
2217,facebook,33,16
2218,educational,21,0
2219,review,28,3
2220,wine,21,10
2221,double,23,15
2222,podcast,28,3
2223,build,26,12
2224,friendly,28,13
2225,planned,23,12
2226,register,24,6
2227,force,27,15
2228,grab,19,8
2229,outdoor,21,2
2230,hosting,21,1
2231,area,24,14
2232,golf,16,3
2233,driving,23,13
2234,staff,21,8
2235,planning,28,16
2236,5k,20,1
2237,math,23,3
2238,exploring,19,1
2239,latest,28,3
2240,building,20,10
2241,south,25,9
2242,lasted,20,5
2243,nickiday2,19,0
2244,center,23,2
2245,bringing,25,8
2246,program,26,11
2247,"friends,",23,4
2248,"fact,",17,2
2249,maythefourth,22,0
2250,ga,19,5
2251,brilliant,23,4
2252,street,19,17
2253,drawing,22,4
2254,including,23,9
2255,fridays,19,6
2256,training,23,8
2257,"music,",19,4
2258,broadcasting,19,1
2259,",come",17,0
2260,50,21,9
2261,retweet,23,7
2262,it'll,0,0
2263,studio,21,3
2264,conference,16,2
2265,board,20,8
2266,shooting,19,7
2267,fitness,18,1
2268,charity,18,5
2269,bike,14,9
2270,showing,28,13
2271,playtime,15,0
2272,blog,20,4
2273,cartoon,16,3
2274,creating,16,8
2275,mode,13,13
2276,library,19,6
2277,tech,21,8
2278,15,24,14
2279,comedy,12,5
2280,journey,18,4
2281,projects,17,1
2282,concept,17,5
2283,colorful,17,0
2284,fashion,23,4
2285,fest,17,4
2286,shop,20,16
2287,"saturday,",15,1
2288,@nickiminaj,16,3
2289,bankholidayweekend,14,0
2290,fabulous,25,4
2291,company,20,14
2292,tuesday,15,6
2293,"out,",19,6
2294,tweeting,23,15
2295,crew,19,3
2296,100%,25,15
2297,kindergarten,13,0
2298,primary,16,1
2299,maythe4th,22,3
2300,nature,17,3
2301,disney,18,7
2302,instagram,19,14
2303,ed,19,6
2304,today's,0,0
2305,action,15,12
2306,drinks,16,7
2307,click,17,8
2308,posts,18,14
2309,stylist,14,0
2310,popcorn,14,3
2311,elementary,17,3
2312,shall,19,6
2313,"activities,",11,1
2314,enter,16,4
2315,chill,18,3
2316,campaign,16,10
2317,begins,15,3
2318,language,19,4
2319,sunny,22,4
2320,nyc,20,13
2321,themed,18,1
2322,poking,16,0
2323,yoga,11,2
2324,fire,23,16
2325,earn,18,3
2326,"games,",13,2
2327,vr,15,3
2328,form,23,8
2329,giveaway,16,3
2330,edu,13,2
2331,classic,24,1
2332,comic,9,14
2333,twitch,16,3
2334,salon,19,1
2335,fab,16,1
2336,garden,17,10
2337,below,17,2
2338,upcoming,18,3
2339,boom,16,5
2340,kick,22,9
2341,competition,18,2
2342,ki,14,1
2343,lovers,15,2
2344,silly,13,6
2345,stem,10,0
2346,hat,14,6
2347,treat,17,13
2348,practice,17,7
2349,ulta,15,0
2350,attending,14,3
2351,hunt,16,7
2352,racing,11,2
2353,somewhere,20,10
2354,places,21,12
2355,"safe,",18,0
2356,parties,16,4
2357,-fun,13,0
2358,county,16,3
2359,paint,20,4
2360,glass,14,7
2361,relax,20,4
2362,teachers,17,11
2363,plenty,15,4
2364,tournament,13,4
2365,ad,17,4
2366,study,16,11
2367,lake,14,4
2368,kentucky,13,2
2369,quiz,11,7
2370,tgif,17,0
2371,"work,",21,7
2372,marketing,19,7
2373,ta,16,3
2374,epic,14,5
2375,supporting,13,13
2376,location,14,5
2377,painting,14,3
2378,nearly,15,8
2379,forest,13,3
2380,battle,11,7
2381,adventures,17,1
2382,drama,17,12
2383,relaxing,10,2
2384,wa,15,14
2385,cars,15,4
2386,yum,13,1
2387,train,18,7
2388,reminder,18,7
2389,bankholiday,13,0
2390,alot,16,13
2391,bubbles,13,0
2392,opportunity,17,9
2393,pack,16,6
2394,gloria,14,0
2395,church,18,7
2396,pool,15,6
2397,san,19,11
2398,sat,15,15
2399,ages,15,7
2400,paper,11,10
2401,toys,15,3
2402,table,17,5
2403,launch,12,3
2404,interested,18,8
2405,=,24,9
2406,skills,12,2
2407,tabtale,14,0
2408,flying,15,6
2409,boss-,11,0
2410,involved,14,5
2411,raise,16,5
2412,chicago,8,9
2413,texas,20,9
2414,havin,13,0
2415,etc,13,14
2416,selfie,12,7
2417,performing,12,5
2418,trips,13,4
2419,winner,16,8
2420,busted,14,7
2421,weve,20,6
2422,theme,17,6
2423,land,15,6
2424,"game,",16,3
2425,several,17,10
2426,wall,13,8
2427,quality,14,11
2428,snapchat,14,10
2429,florida,16,9
2430,"week,",19,7
2431,xd,16,12
2432,horny,8,8
2433,research,15,5
2434,soda,12,2
2435,teach,18,14
2436,hiring,14,3
2437,tips,16,3
2438,artists,14,11
2439,recommend,11,8
2440,visiting,11,8
2441,horse,12,7
2442,consider,15,10
2443,kitchen,16,1
2444,fantasy,13,1
2445,ten,13,10
2446,friday:,11,0
2447,splash,11,0
2448,recording,10,4
2449,sea,13,4
2450,retail,11,2
2451,edition,9,5
2452,:-),18,8
2453,"fresh,",12,0
2454,est,13,3
2455,fish,14,8
2456,12th,15,1
2457,recipe,15,1
2458,changes,14,11
2459,test,15,9
2460,xxx,14,5
2461,camera,14,12
2462,alcohol,10,8
2463,mike,20,5
2464,booth,10,2
2465,title,12,11
2466,earned,14,0
2467,binance,11,0
2468,here:,19,0
2469,junior,19,3
2470,bird,17,11
2471,raised,16,10
2472,rules,11,10
2473,"thanks,",13,2
2474,natural,15,6
2475,july,13,2
2476,everywhere,15,13
2477,dallas,14,9
2478,suppose,18,12
2479,fridayfeeling,10,3
2480,hop,14,7
2481,toy,15,2
2482,market,14,11
2483,candy,14,7
2484,popular,15,6
2485,bitcoin,8,1
2486,closer,16,7
2487,usual,10,11
2488,8th,9,3
2489,19,16,5
2490,hockey,10,6
2491,engaging,9,0
2492,roll,17,10
2493,playground,10,1
2494,install,10,0
2495,fancy,13,3
2496,prizes,7,0
2497,"tonight,",14,4
2498,yard,12,1
2499,wars-themed,7,0
2500,seemed,17,7
2501,army,13,11
2502,data,12,6
2503,diy,13,2
2504,boat,9,8
2505,featuring,13,2
2506,catching,8,3
2507,coding,12,0
2508,trail,13,0
2509,foodie,6,0
2510,presentation,11,2
2511,pleasure,18,6
2512,graders,9,0
2513,steam,12,2
2514,thomas,11,1
2515,yours,18,15
2516,nufc,12,0
2517,workshop,12,0
2518,@titanicsinclair,10,0
2519,vegas,10,7
2520,collection,13,5
2521,fun),9,0
2522,itll,12,14
2523,vibe,13,2
2524,hotel,10,11
2525,airport,10,8
2526,floor,12,7
2527,apart,15,14
2528,bee,10,5
2529,chocolate,12,7
2530,bbq,13,10
2531,2016,11,4
2532,10th,12,3
2533,@pubg_help,12,2
2534,nicki,9,2
2535,pub,13,0
2536,boston,13,6
2537,block,13,14
2538,variety,12,4
2539,mexican,7,5
2540,zoo,10,5
2541,dirty,14,11
2542,breakfast,12,11
2543,museum,8,7
2544,response,14,10
2545,offer,20,7
2546,barbietingz,7,0
2547,original,15,9
2548,hero,11,9
2549,cards,11,6
2550,theatre,9,3
2551,pe,9,6
2552,excitement,10,4
2553,attend,15,7
2554,flies,9,4
2555,throwing,11,7
2556,blood,17,10
2557,profit,9,1
2558,basketball,16,9
2559,jedi,10,2
2560,prison,11,9
2561,sessions,9,2
2562,sisters,16,9
2563,heading,12,9
2564,underway,10,0
2565,filming,12,1
2566,sport,10,5
2567,sneak,11,1
2568,shots,16,5
2569,humour,12,4
2570,tongue,6,5
2571,funds,9,2
2572,"us,",11,8
2573,weekends,11,3
2574,industry,13,8
2575,conversation,12,12
2576,7th,15,5
2577,stick,15,10
2578,election,14,6
2579,digital,11,1
2580,grand,15,5
2581,helps,11,14
2582,target,13,3
2583,craft,10,1
2584,brings,11,8
2585,entertaining,13,1
2586,bighit,13,4
2587,cost,8,7
2588,atlanta,10,10
2589,discuss,17,2
2590,creek,8,3
2591,monster,10,6
2592,parade,11,4
2593,held,15,8
2594,leading,11,5
2595,cleaning,9,2
2596,cycling,7,0
2597,changing,14,9
2598,invite,8,6
2599,chun,10,0
2600,parts,9,10
